cohort,Risk_avg_w5,Action_avg_w5,Behavior,Wave,Type,Type2,Type3,Type4,d_Risk_avg,d_Action_avg,abs(d_Risk_avg),abs(d_Action_avg),Action_avg_w4,Risk_avg_w4,left_Risk_avg,right_Risk_avg,left_Action_avg,right_Action_avg
Non_students,3.684671533,1.947445255,Avoiding large social gatherings,W5,Protective behavior,Gatherings,Varying before & after pandmeic,Cluster3,-0.043278778,-0.807834248,0.043278778,0.807834248,2.755279503,3.727950311,-0.043278778,0,-0.807834248,0
Student,3.465671642,1.056716418,Avoiding large social gatherings,W5,Protective behavior,Gatherings,Varying before & after pandmeic,Cluster3,-0.11655058,-0.52106136,0.11655058,0.52106136,1.577777778,3.582222222,-0.11655058,0,-0.52106136,0
Non_students,1.032116788,1.903649635,Eating indoors at restaurants,W5,Risky behavior,Dining,Varying before & after pandmeic,Cluster5,0.240705745,0.715919574,0.240705745,0.715919574,1.187730061,0.791411043,0,0.240705745,0,0.715919574
Student,1.353115727,2.65578635,Eating indoors at restaurants,W5,Risky behavior,Dining,Varying before & after pandmeic,Cluster5,0.107580013,0.352214921,0.107580013,0.352214921,2.303571429,1.245535714,0,0.107580013,0,0.352214921
Non_students,2.185022026,1.766519824,Eating outdoors at restaurants,W5,Risky behavior,Dining,Varying before & after pandmeic,Cluster4,0.217363553,0.784631079,0.217363553,0.784631079,0.981888745,1.967658473,0,0.217363553,0,0.784631079
Student,2.326347305,1.886227545,Eating outdoors at restaurants,W5,Risky behavior,Dining,Varying before & after pandmeic,Cluster4,0.031704448,0.033548974,0.031704448,0.033548974,1.852678571,2.294642857,0,0.031704448,0,0.033548974
Non_students,0.870639535,1.80377907,Attending indoor social gatherings,W5,Risky behavior,Gatherings,Varying before & after pandmeic,Cluster5,0.279843515,0.411988025,0.279843515,0.411988025,1.391791045,0.59079602,0,0.279843515,0,0.411988025
Student,1.276276276,2.501501502,Attending indoor social gatherings,W5,Risky behavior,Gatherings,Varying before & after pandmeic,Cluster5,0.342355571,0.06978344,0.342355571,0.06978344,2.431718062,0.933920705,0,0.342355571,0,0.06978344
Non_students,1.870014771,1.977843427,Attending outdoor social gatherings,W5,Risky behavior,Gatherings,Varying before & after pandmeic,Cluster4,0.269749167,0.732159496,0.269749167,0.732159496,1.245683931,1.600265604,0,0.269749167,0,0.732159496
Student,2.005970149,2.388059701,Attending outdoor social gatherings,W5,Risky behavior,Gatherings,Varying before & after pandmeic,Cluster4,0.303747927,0.063615257,0.303747927,0.063615257,2.324444444,1.702222222,0,0.303747927,0,0.063615257
Non_students,0.732415902,1.134556575,Attending a sporting event,W5,Risky behavior,Events,Varying before & after pandmeic,Cluster5,0.154695695,0.345696471,0.154695695,0.345696471,0.788860104,0.577720207,0,0.154695695,0,0.345696471
Student,0.909638554,2.424698795,Attending a sporting event,W5,Risky behavior,Events,Varying before & after pandmeic,Cluster5,0.170700501,0.221158972,0.170700501,0.221158972,2.203539823,0.738938053,0,0.170700501,0,0.221158972
Non_students,0.635048232,0.832797428,Attending a concert,W5,Risky behavior,Events,Varying before & after pandmeic,Cluster5,0.235319235,0.407323173,0.235319235,0.407323173,0.425474255,0.399728997,0,0.235319235,0,0.407323173
Student,0.828125,1.54375,Attending a concert,W5,Risky behavior,Events,Varying before & after pandmeic,Cluster5,0.21090012,0.385855263,0.21090012,0.385855263,1.157894737,0.61722488,0,0.21090012,0,0.385855263
Non_students,0.926793558,1.775988287,Attending 20-50 people social gatherings,W5,Risky behavior,Gatherings,Varying before & after pandmeic,Cluster5,0.26388629,0.674484528,0.26388629,0.674484528,1.101503759,0.662907268,0,0.26388629,0,0.674484528
Student,1.211764706,2.741176471,Attending 20-50 people social gatherings,W5,Risky behavior,Gatherings,Varying before & after pandmeic,Cluster5,0.216150671,0.263106296,0.216150671,0.263106296,2.478070175,0.995614035,0,0.216150671,0,0.263106296
Non_students,0.494799406,1.243684993,Attending 51-1000 people social gatherings,W5,Risky behavior,Gatherings,Varying before & after pandmeic,Cluster5,0.217380051,0.590781767,0.217380051,0.590781767,0.652903226,0.277419355,0,0.217380051,0,0.590781767
Student,0.8,2.447761194,Attending 51-1000 people social gatherings,W5,Risky behavior,Gatherings,Varying before & after pandmeic,Cluster5,0.311210762,0.649554916,0.311210762,0.649554916,1.798206278,0.488789238,0,0.311210762,0,0.649554916
Non_students,0.403993856,0.738863287,Attending 1001-5000 people social gatherings,W5,Risky behavior,Gatherings,Varying before & after pandmeic,Cluster5,0.188954278,0.303507086,0.188954278,0.303507086,0.435356201,0.215039578,0,0.188954278,0,0.303507086
Student,0.649390244,1.789634146,Attending 1001-5000 people social gatherings,W5,Risky behavior,Gatherings,Varying before & after pandmeic,Cluster5,0.228093948,0.535004516,0.228093948,0.535004516,1.25462963,0.421296296,0,0.228093948,0,0.535004516
Non_students,0.402157165,0.681047766,Attending > 5000 people social gatherings,W5,Risky behavior,Gatherings,Varying before & after pandmeic,Cluster5,0.188154523,0.229264411,0.188154523,0.229264411,0.451783355,0.214002642,0,0.188154523,0,0.229264411
Student,0.631097561,1.899390244,Attending > 5000 people social gatherings,W5,Risky behavior,Gatherings,Varying before & after pandmeic,Cluster5,0.237579042,0.302168022,0.237579042,0.302168022,1.597222222,0.393518519,0,0.237579042,0,0.302168022
