Cohort,Variable,Period,Start_date,End_date,Reference,Avg_ridit,SE_ridit
Student,Stayed home if I felt unwell,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2021-02-01 to 2021-04-30,0.36072697,0.032228237
Student,Stayed home if I felt unwell,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2021-02-01 to 2021-04-30,0.544790446,0.013635405
Student,Stayed home if I felt unwell,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2021-02-01 to 2021-04-30,0.523079663,0.015666881
Student,Stayed home if I felt unwell,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2021-02-01 to 2021-04-30,0.5,0.016591903
Student,Tried not to touch my eyes,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2022-08-01 to 2022-11-30,0.5,0.021126557
Student,Tried not to touch my eyes,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2022-08-01 to 2022-11-30,0.509342674,0.023445463
Student,Tried not to touch my eyes,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2022-08-01 to 2022-11-30,0.549470537,0.02363162
Student,Tried not to touch my eyes,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2022-08-01 to 2022-11-30,0.537913708,0.036809176
Student,Tried not to touch my eyes,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2022-08-01 to 2022-11-30,0.532084495,0.017411802
Student,Tried not to touch my eyes,2020-11-01 to 2021-01-31,11/1/2020,1/31/2021,2022-08-01 to 2022-11-30,0.549087619,0.018865508
Student,Tried not to touch my eyes,2021-02-01 to 2021-04-30,2/1/2021,4/30/2021,2022-08-01 to 2022-11-30,0.543238785,0.019468215
Student,Tried not to touch my eyes,2022-08-01 to 2022-11-30,8/1/2022,11/30/2022,2021-05-01 to 2021-08-23,0.51870356,0.023445463
Student,Tried not to touch my eyes,2021-05-01 to 2021-08-23,5/1/2021,8/23/2021,2021-05-01 to 2021-08-23,0.5,0.025147721
Student,Tried not to touch my eyes,2021-08-23 to 2021-12-18,8/23/2021,12/18/2021,2021-05-01 to 2021-08-23,0.529375461,0.025392731
Student,Tried not to touch my eyes,2021-12-19 to 2022-03-28,12/19/2021,3/28/2022,2021-05-01 to 2021-08-23,0.498341931,0.037646742
Student,Tried not to touch my eyes,2020-06-01 to 2020-10-31,6/1/2020,10/31/2020,2021-05-01 to 2021-08-23,0.55768468,0.020006935
